"tier";"tierItem";"categoria";"item";"familia";"raridade";"tipoInventario";"vendavel";"valorVendaNpc";"aquisicao"
"2";"2";"EQUIPMENT";"Calças de Oficina Sanitária";"Calças";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Calças de Triagem Clínica";"Calças";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Calças de Emergência do Terminal";"Calças";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Calças de Quarentena Leve";"Calças";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Sapatos de Enfermagem Gastos";"Sapatos";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Sapatos de Oficina Sanitária";"Sapatos";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Sapatos de Enfermaria Selada";"Sapatos";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Sapatos de Resgate do Terminal";"Sapatos";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Sapatos de Quarentena Verde";"Sapatos";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Rifle de Cano Curto";"Rifle";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Rifle de Oficina Oxidado";"Rifle";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Rifle de Dardos Clínicos";"Rifle";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Rifle de Sinalização de Embarque";"Rifle";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Rifle de Contenção Verde";"Rifle";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Pistola de Gaveta Quebrada";"Pistola";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Pistola de Chapa Enferrujada";"Pistola";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Pistola de Sedativo Quebrada";"Pistola";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Pistola de Segurança do Terminal";"Pistola";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Pistola de Quarentena Selada";"Pistola";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Carregador de Lata Amassada";"Carregador";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Carregador de Oficina Oxidado";"Carregador";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Carregador de Triagem Clínica";"Carregador";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Carregador de Embarque Rápido";"Carregador";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Carregador de Quarentena Verde";"Carregador";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Viseira de Mira Rachada";"Viseira";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Viseira de Oficina Oxidada";"Viseira";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Viseira de Triagem Balística";"Viseira";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Viseira de Embarque Tático";"Viseira";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Viseira de Quarentena Verde";"Viseira";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Jaqueta de Couro Furado";"Jaqueta";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Jaqueta de Oficina Oxidada";"Jaqueta";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Jaqueta de Resgate Clínico";"Jaqueta";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Jaqueta de Patrulha do Terminal";"Jaqueta";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Jaqueta de Quarentena Balística";"Jaqueta";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Cargueiras de Rua Rasgadas";"Cargueiras";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Cargueiras de Oficina Oleosa";"Cargueiras";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Cargueiras de Maca de Campo";"Cargueiras";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Cargueiras de Embarque Tático";"Cargueiras";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Cargueiras de Quarentena Verde";"Cargueiras";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Coturnos de Patrulha Gasta";"Coturnos";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Coturnos de Ferrugem Baixa";"Coturnos";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Coturnos de Enfermaria Tática";"Coturnos";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Coturnos de Terminal Quebrado";"Coturnos";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Coturnos de Quarentena Verde";"Coturnos";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"REINFORCEMENT_MATERIAL";"Fragmento de Reforço T1";"Material de Reforço";"COMMON";"MATERIAL";"false";"0";"INCURSION"
"2";"2";"REINFORCEMENT_MATERIAL";"Fragmento de Reforço T2";"Material de Reforço";"COMMON";"MATERIAL";"false";"0";"INCURSION"
"3";"3";"REINFORCEMENT_MATERIAL";"Fragmento de Reforço T3";"Material de Reforço";"UNCOMMON";"MATERIAL";"false";"0";"INCURSION"
"4";"4";"REINFORCEMENT_MATERIAL";"Fragmento de Reforço T4";"Material de Reforço";"UNCOMMON";"MATERIAL";"false";"0";"INCURSION"
"5";"5";"REINFORCEMENT_MATERIAL";"Fragmento de Reforço T5";"Material de Reforço";"RARE";"MATERIAL";"false";"0";"INCURSION"
"1";"1";"PET_COCOON";"Casulo de Desmanche T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Coleta T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Patrulha T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Arsenal T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Tecnovarredura T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Contenção T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Combate automático T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"1";"1";"PET_COCOON";"Casulo de Rastreamento T1";"Casulo Infectado";"COMMON";"MATERIAL";"true";"3";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Desmanche T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Coleta T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Patrulha T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Arsenal T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Tecnovarredura T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Contenção T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Combate automático T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"2";"2";"PET_COCOON";"Casulo de Rastreamento T2";"Casulo Infectado";"COMMON";"MATERIAL";"true";"6";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Desmanche T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Coleta T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Patrulha T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Arsenal T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Tecnovarredura T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Contenção T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Combate automático T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"3";"3";"PET_COCOON";"Casulo de Rastreamento T3";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"16";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Desmanche T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Coleta T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Patrulha T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Arsenal T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Tecnovarredura T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Contenção T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Combate automático T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"4";"4";"PET_COCOON";"Casulo de Rastreamento T4";"Casulo Infectado";"UNCOMMON";"MATERIAL";"true";"27";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Desmanche T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Coleta T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Patrulha T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Arsenal T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Tecnovarredura T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Contenção T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Combate automático T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
"5";"5";"PET_COCOON";"Casulo de Rastreamento T5";"Casulo Infectado";"RARE";"MATERIAL";"true";"59";"WORLD_BOSS"
