"itemCraftado";"classe";"slot";"tier";"mapa";"ingredienteOrdem";"ingrediente";"quantidade";"papel";"origem"
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo do Marco Zero";"Lutador";"HEAD";"10";"Marco Zero";"1";"Núcleo Rubro de Bloqueio";"120";"MAIN_COMPONENT";"CONTENCAO"
"Elmo do Marco Zero";"Lutador";"HEAD";"10";"Marco Zero";"2";"Núcleo Rubro de Respiração";"60";"SHARED_MATERIAL";"CONTENCAO"
"Elmo do Marco Zero";"Lutador";"HEAD";"10";"Marco Zero";"3";"Biomaterial Craniano Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo do Marco Zero";"Lutador";"HEAD";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"1";"Cabo de Madeira Cravado";"80";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"2";"Malha Rasgada";"40";"SHARED_MATERIAL";"COLETA"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"1";"Lâmina de Ferramenta Velha";"80";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"2";"Pano de Empunhadura";"40";"SHARED_MATERIAL";"COLETA"
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"1";"Engrenagem Enferrujada";"80";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"2";"Retalho de Uniforme";"40";"SHARED_MATERIAL";"COLETA"
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"1";"Chapa de Oficina Rasgada";"80";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"2";"Correia Gasta";"40";"SHARED_MATERIAL";"COLETA"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"1";"Pé de Suporte Clínico";"90";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"2";"Faixa Hospitalar";"45";"SHARED_MATERIAL";"COLETA"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"1";"Bandeja Cirúrgica Serrilhada";"90";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"2";"Forro de Maca Rasgado";"45";"SHARED_MATERIAL";"COLETA"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"1";"Corrimão Rebitado";"90";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"2";"Alça de Bagagem";"45";"SHARED_MATERIAL";"COLETA"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"1";"Placa de Embarque Afiada";"90";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"2";"Cinta de Assento";"45";"SHARED_MATERIAL";"COLETA"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"1";"Grade de Quarentena Retorcida";"100";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"2";"Forro de Colete Rasgado";"50";"SHARED_MATERIAL";"COLETA"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"3";"Biomaterial Cortante Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"1";"Borda de Porta de Contenção";"100";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"2";"Presilha de Equipamento";"50";"SHARED_MATERIAL";"COLETA"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"3";"Biomaterial Cortante Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"1";"Pistão Industrial Pesado";"100";"MAIN_COMPONENT";"DESMANCHE"
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"2";"Cinta de Borracha Grossa";"50";"SHARED_MATERIAL";"COLETA"
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Cortante Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"1";"Chapa de Caldeira Serrada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"2";"Manta Industrial Queimada";"50";"SHARED_MATERIAL";"COLETA"
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Cortante Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"1";"Cápsula Cerâmica Roxa";"110";"MAIN_COMPONENT";"CONTENCAO"
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"2";"Membrana de Polímero Rasgada";"55";"SHARED_MATERIAL";"COLETA"
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"3";"Biomaterial Cortante Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"1";"Selo Balístico Instável";"110";"MAIN_COMPONENT";"CONTENCAO"
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"2";"Cinto Tático Rompido";"55";"SHARED_MATERIAL";"COLETA"
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"3";"Biomaterial Cortante Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"1";"Cápsula de Contenção Helix (Contenção T8 Main Hand)";"110";"MAIN_COMPONENT";"CONTENCAO"
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"2";"Trama de Polímero Helix (Coleta T8 Main Hand)";"55";"SHARED_MATERIAL";"COLETA"
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"3";"Biomaterial Cortante Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"1";"Módulo Cerâmico Helix (Contenção T8 Main Hand)";"110";"MAIN_COMPONENT";"CONTENCAO"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"2";"Revestimento Sintético Reforçado";"55";"SHARED_MATERIAL";"COLETA"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"3";"Biomaterial Cortante Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"1";"Núcleo de Vedação Carmesim";"120";"MAIN_COMPONENT";"CONTENCAO"
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"2";"Trama de Fibra Reforçada";"60";"SHARED_MATERIAL";"COLETA"
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"3";"Biomaterial Cortante Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"1";"Câmara Necrótica Selada";"120";"MAIN_COMPONENT";"CONTENCAO"
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"2";"Malha de Fibra Tática";"60";"SHARED_MATERIAL";"COLETA"
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"3";"Biomaterial Cortante Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"10";"Marco Zero";"1";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"120";"MAIN_COMPONENT";"CONTENCAO"
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"10";"Marco Zero";"2";"Manta de Fibra Saturada (Coleta T10 Main Hand)";"60";"SHARED_MATERIAL";"COLETA"
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"10";"Marco Zero";"3";"Biomaterial Cortante Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"10";"Marco Zero";"1";"Selo Final de Contenção";"120";"MAIN_COMPONENT";"CONTENCAO"
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"10";"Marco Zero";"2";"Trança de Fibra Escarlate (Coleta T10 Main Hand)";"60";"SHARED_MATERIAL";"COLETA"
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"10";"Marco Zero";"3";"Biomaterial Cortante Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"1";"Subúrbio Silencioso";"1";"Placa de Porta Leve";"80";"MAIN_COMPONENT";"DESMANCHE"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"1";"Subúrbio Silencioso";"2";"Pano Filtrante Sujo";"40";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"1";"Subúrbio Silencioso";"3";"Biomaterial Reativo Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"2";"Distrito da Ferrugem";"1";"Bolsa de Ferramentas Médicas Gasta";"80";"MAIN_COMPONENT";"COLETA"
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"2";"Distrito da Ferrugem";"2";"Rebite Selante Oxidado";"40";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"2";"Distrito da Ferrugem";"3";"Biomaterial Reativo Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"3";"Hospital Santa Ruína";"1";"Acolchoado de Maca (Coleta T3 Pernas)";"90";"MAIN_COMPONENT";"COLETA"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"3";"Hospital Santa Ruína";"2";"Tela de Isolamento Clínico";"45";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"3";"Hospital Santa Ruína";"3";"Biomaterial Reativo Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"4";"Terminal dos Esquecidos";"1";"Cartucho Sanitário de Cabine";"90";"MAIN_COMPONENT";"CONTENCAO"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"4";"Terminal dos Esquecidos";"2";"Manta Antifiação";"45";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"4";"Terminal dos Esquecidos";"3";"Biomaterial Reativo Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"5";"Zona de Quarentena 9";"1";"Selante Bioquímico Verde";"100";"MAIN_COMPONENT";"CONTENCAO"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"5";"Zona de Quarentena 9";"2";"Placa de Resina Verde";"50";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"5";"Zona de Quarentena 9";"3";"Biomaterial Reativo Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"6";"Refinaria do Pó Cinzento";"1";"Cápsula Química Ressecada";"100";"MAIN_COMPONENT";"CONTENCAO"
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"6";"Refinaria do Pó Cinzento";"2";"Junta de Vapor Cinzenta";"50";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Reativo Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"7";"Avenida dos Caídos";"1";"Cartucho Cerâmico Roxo";"110";"MAIN_COMPONENT";"CONTENCAO"
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"7";"Avenida dos Caídos";"2";"Painel Cerâmico Roxo";"55";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"7";"Avenida dos Caídos";"3";"Biomaterial Reativo Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"8";"Complexo Helix";"1";"Ampola Cerâmica Helix";"110";"MAIN_COMPONENT";"CONTENCAO"
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"8";"Complexo Helix";"2";"Cápsula de Contenção Helix (Contenção T8 Off Hand)";"55";"SHARED_MATERIAL";"CONTENCAO"
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"8";"Complexo Helix";"3";"Biomaterial Reativo Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"9";"Necrópole Industrial";"1";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"120";"MAIN_COMPONENT";"CONTENCAO"
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"9";"Necrópole Industrial";"2";"Núcleo de Bloqueio Carmesim";"60";"SHARED_MATERIAL";"CONTENCAO"
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"9";"Necrópole Industrial";"3";"Biomaterial Reativo Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"10";"Marco Zero";"1";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"120";"MAIN_COMPONENT";"CONTENCAO"
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"10";"Marco Zero";"2";"Núcleo Rubro de Bloqueio";"60";"SHARED_MATERIAL";"CONTENCAO"
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"10";"Marco Zero";"3";"Biomaterial Reativo Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"1";"Faca Serrada de Cozinha";"80";"MAIN_COMPONENT";"ARSENAL"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"2";"Fita de Mochila Rasgada";"40";"SHARED_MATERIAL";"PATRULHA"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"1";"Par de Facas Trincadas";"80";"MAIN_COMPONENT";"ARSENAL"
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"2";"Cordão de Tênis Gasto";"40";"SHARED_MATERIAL";"PATRULHA"
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"1";"Lâmina de Serra Enferrujada";"80";"MAIN_COMPONENT";"ARSENAL"
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"2";"Luva de Oficina Gasta";"40";"SHARED_MATERIAL";"PATRULHA"
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"1";"Lâminas de Estilete Oxidadas";"80";"MAIN_COMPONENT";"ARSENAL"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"2";"Gancho de Cinto Gasto";"40";"SHARED_MATERIAL";"PATRULHA"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"3";"Biomaterial Cortante Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"1";"Bisturi Cirúrgico Alongado";"90";"MAIN_COMPONENT";"ARSENAL"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"2";"Faixa de Torniquete";"45";"SHARED_MATERIAL";"PATRULHA"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"1";"Pontas de Tesoura Cirúrgica";"90";"MAIN_COMPONENT";"ARSENAL"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"2";"Tira de Pulseira Hospitalar";"45";"SHARED_MATERIAL";"PATRULHA"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"4";"Terminal dos Esquecidos";"1";"Placa de Sinalização Cortante";"90";"MAIN_COMPONENT";"ARSENAL"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"4";"Terminal dos Esquecidos";"2";"Correia de Mochila de Viagem";"45";"SHARED_MATERIAL";"PATRULHA"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"4";"Terminal dos Esquecidos";"3";"Biomaterial Cortante Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
