"receita";"itemDrop";"tier";"quantidadeNecessaria";"mobsFonteNoTier";"mobsAtivosNoTier";"pesoTotalEncontro";"chancePonderadaPercentual";"quantidadeEsperadaPorEncontro";"killsEsperadas";"horasEsperadas"
"Calças de Emergência do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Sapatos de Resgate do Terminal";"Biomaterial de Mobilidade Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Sapatos de Resgate do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Rifle de Sinalização de Embarque";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Rifle de Sinalização de Embarque";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Pistola de Segurança do Terminal";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Pistola de Segurança do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Carregador de Embarque Rápido";"Biomaterial Reativo Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Carregador de Embarque Rápido";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Viseira de Embarque Tático";"Biomaterial Craniano Incomum";"4";"14";"2";"6";"100";"6.65";"0.0665";"210.5";"1.23"
"Viseira de Embarque Tático";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Jaqueta de Patrulha do Terminal";"Biomaterial Torácico Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Jaqueta de Patrulha do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Cargueiras de Embarque Tático";"Biomaterial Articular Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Cargueiras de Embarque Tático";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Coturnos de Terminal Quebrado";"Biomaterial de Mobilidade Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Coturnos de Terminal Quebrado";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Armadura de Barreira Selada";"Biomaterial Torácico Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Armadura de Barreira Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Grevas de Câmara Selada";"Biomaterial Articular Raro";"5";"16";"2";"6";"100";"10.5";"0.105";"152.4";"0.97"
"Grevas de Câmara Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Botas de Quarentena Selada";"Biomaterial de Mobilidade Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Botas de Quarentena Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Elmo de Câmara Selada";"Biomaterial Craniano Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Elmo de Câmara Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Maça de Grade de Quarentena";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Maça de Grade de Quarentena";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Machado de Porta de Contenção";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Machado de Porta de Contenção";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Escudo de Barreira de Quarentena";"Biomaterial Reativo Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Escudo de Barreira de Quarentena";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Espada de Lâmina Selada";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Espada de Lâmina Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Adagas de Contenção Verde";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Adagas de Contenção Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Bombas de Quarentena Verde";"Biomaterial Reativo Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Bombas de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Capuz de Quarentena Verde";"Biomaterial Craniano Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Capuz de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Traje de Quarentena Furtiva";"Biomaterial Torácico Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Traje de Quarentena Furtiva";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Perneiras de Quarentena Leve";"Biomaterial Articular Raro";"5";"16";"2";"6";"100";"10.5";"0.105";"152.4";"0.97"
"Perneiras de Quarentena Leve";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Sapatilhas de Quarentena Selada";"Biomaterial de Mobilidade Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Sapatilhas de Quarentena Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Serra de Contenção Verde";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Serra de Contenção Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Desfibrilador de Quarentena";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Desfibrilador de Quarentena";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Injetor de Quarentena Verde";"Biomaterial Reativo Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Injetor de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Máscara de Quarentena Verde";"Biomaterial Craniano Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Máscara de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Colete de Quarentena Verde";"Biomaterial Torácico Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Colete de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Calças de Quarentena Leve";"Biomaterial Articular Raro";"5";"16";"2";"6";"100";"10.5";"0.105";"152.4";"0.97"
"Calças de Quarentena Leve";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Sapatos de Quarentena Verde";"Biomaterial de Mobilidade Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Sapatos de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Rifle de Contenção Verde";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Rifle de Contenção Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Pistola de Quarentena Selada";"Biomaterial Cortante Raro";"5";"16";"2";"6";"100";"21";"0.21";"76.2";"0.49"
"Pistola de Quarentena Selada";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Carregador de Quarentena Verde";"Biomaterial Reativo Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Carregador de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Viseira de Quarentena Verde";"Biomaterial Craniano Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Viseira de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Jaqueta de Quarentena Balística";"Biomaterial Torácico Raro";"5";"16";"2";"6";"100";"17.85";"0.1785";"89.6";"0.57"
"Jaqueta de Quarentena Balística";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Cargueiras de Quarentena Verde";"Biomaterial Articular Raro";"5";"16";"2";"6";"100";"10.5";"0.105";"152.4";"0.97"
"Cargueiras de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
"Coturnos de Quarentena Verde";"Biomaterial de Mobilidade Raro";"5";"16";"2";"6";"100";"6.65";"0.0665";"240.6";"1.54"
"Coturnos de Quarentena Verde";"Resíduo Infecto Tóxico";"5";"30";"6";"6";"100";"45";"0.675";"44.4";"0.28"
