"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"Machado";"8";"EPIC";"Complexo Helix";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Módulo Cerâmico Helix (Contenção T8 Main Hand) + Revestimento Sintético Reforçado";"2";"usa 2 material(is) de gathering; alvo: 3";"Módulo Cerâmico Helix (Contenção T8 Main Hand) + Revestimento Sintético Reforçado + Microserra Helix (Tecnovarredura T8 Main Hand)";"Módulo Cerâmico Helix (Contenção T8 Main Hand), Revestimento Sintético Reforçado";"Microserra Helix (Tecnovarredura T8 Main Hand)"
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"Maça";"9";"LEGENDARY";"Necrópole Industrial";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Núcleo de Vedação Carmesim + Trama de Fibra Reforçada";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Vedação Carmesim + Trama de Fibra Reforçada + Malha de Fibra Sombria";"Núcleo de Vedação Carmesim, Trama de Fibra Reforçada";"Malha de Fibra Sombria"
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"Machado";"9";"LEGENDARY";"Necrópole Industrial";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Câmara Necrótica Selada + Malha de Fibra Tática";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara Necrótica Selada + Malha de Fibra Tática + Placa Titânica Cortante";"Câmara Necrótica Selada, Malha de Fibra Tática";"Placa Titânica Cortante"
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"Maça";"10";"LEGENDARY";"Marco Zero";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand) + Manta de Fibra Saturada (Coleta T10 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand) + Manta de Fibra Saturada (Coleta T10 Main Hand) + Manta de Fibra Saturada (Patrulha T10 Main Hand)";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand), Manta de Fibra Saturada (Coleta T10 Main Hand)";"Manta de Fibra Saturada (Patrulha T10 Main Hand)"
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"Machado";"10";"LEGENDARY";"Marco Zero";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Selo Final de Contenção + Trança de Fibra Escarlate (Coleta T10 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Selo Final de Contenção + Trança de Fibra Escarlate (Coleta T10 Main Hand) + Lâmina Rubra do Marco";"Selo Final de Contenção, Trança de Fibra Escarlate (Coleta T10 Main Hand)";"Lâmina Rubra do Marco"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"Escudo";"1";"COMMON";"Subúrbio Silencioso";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Tampa Metálica Amassada + Placa de Porta Leve + Pano Filtrante Sujo";"3";"ok";"Tampa Metálica Amassada + Placa de Porta Leve + Pano Filtrante Sujo";"Tampa Metálica Amassada, Placa de Porta Leve, Pano Filtrante Sujo";""
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"Escudo";"2";"COMMON";"Distrito da Ferrugem";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Bolsa de Ferramentas Médicas Gasta + Rebite Selante Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolsa de Ferramentas Médicas Gasta + Rebite Selante Oxidado + Porta-munição Oleoso";"Bolsa de Ferramentas Médicas Gasta, Rebite Selante Oxidado";"Porta-munição Oleoso"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"Escudo";"3";"UNCOMMON";"Hospital Santa Ruína";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Acolchoado de Maca (Coleta T3 Pernas) + Tela de Isolamento Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Coleta T3 Pernas) + Tela de Isolamento Clínico + Frasco de Anestésico Vazio";"Acolchoado de Maca (Coleta T3 Pernas), Tela de Isolamento Clínico";"Frasco de Anestésico Vazio"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"Escudo";"4";"UNCOMMON";"Terminal dos Esquecidos";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Cartucho Sanitário de Cabine + Manta Antifiação";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho Sanitário de Cabine + Manta Antifiação + Porta-cartuchos de Bagagem";"Cartucho Sanitário de Cabine, Manta Antifiação";"Porta-cartuchos de Bagagem"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"Escudo";"5";"RARE";"Zona de Quarentena 9";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Selante Bioquímico Verde + Placa de Resina Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Selante Bioquímico Verde + Placa de Resina Verde + Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"Selante Bioquímico Verde, Placa de Resina Verde";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand)"
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"Escudo";"6";"RARE";"Refinaria do Pó Cinzento";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Cápsula Química Ressecada + Junta de Vapor Cinzenta";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula Química Ressecada + Junta de Vapor Cinzenta + Cartucho de Refinaria";"Cápsula Química Ressecada, Junta de Vapor Cinzenta";"Cartucho de Refinaria"
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"Escudo";"7";"EPIC";"Avenida dos Caídos";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Cartucho Cerâmico Roxo + Painel Cerâmico Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho Cerâmico Roxo + Painel Cerâmico Roxo + Granadas de Fumaça Roxa";"Cartucho Cerâmico Roxo, Painel Cerâmico Roxo";"Granadas de Fumaça Roxa"
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"Escudo";"8";"EPIC";"Complexo Helix";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Ampola Cerâmica Helix + Cápsula de Contenção Helix (Contenção T8 Off Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Ampola Cerâmica Helix + Cápsula de Contenção Helix (Contenção T8 Off Hand) + Cápsula Helix Pressurizada";"Ampola Cerâmica Helix, Cápsula de Contenção Helix (Contenção T8 Off Hand)";"Cápsula Helix Pressurizada"
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"Escudo";"9";"LEGENDARY";"Necrópole Industrial";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Câmara de Vedação Carmesim (Contenção T9 Off Hand) + Núcleo de Bloqueio Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Vedação Carmesim (Contenção T9 Off Hand) + Núcleo de Bloqueio Carmesim + Núcleo Explosivo Carmesim";"Câmara de Vedação Carmesim (Contenção T9 Off Hand), Núcleo de Bloqueio Carmesim";"Núcleo Explosivo Carmesim"
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"Escudo";"10";"LEGENDARY";"Marco Zero";"tampa, placa, porta, fivela, tira, cinta, pesado, madeira";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand) + Núcleo Rubro de Bloqueio";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand) + Núcleo Rubro de Bloqueio + Placa Titânica do Marco Zero";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand), Núcleo Rubro de Bloqueio";"Placa Titânica do Marco Zero"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"Espada";"1";"COMMON";"Subúrbio Silencioso";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Faca Serrada de Cozinha + Lâmina de Ferramenta Velha + Fita de Mochila Rasgada";"3";"ok";"Faca Serrada de Cozinha + Lâmina de Ferramenta Velha + Fita de Mochila Rasgada";"Faca Serrada de Cozinha, Lâmina de Ferramenta Velha, Fita de Mochila Rasgada";""
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"Adagas";"1";"COMMON";"Subúrbio Silencioso";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Par de Facas Trincadas + Cordão de Tênis Gasto + Pano de Empunhadura";"3";"ok";"Par de Facas Trincadas + Cordão de Tênis Gasto + Pano de Empunhadura";"Par de Facas Trincadas, Cordão de Tênis Gasto, Pano de Empunhadura";""
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"Espada";"2";"COMMON";"Distrito da Ferrugem";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina de Serra Enferrujada + Luva de Oficina Gasta";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina de Serra Enferrujada + Luva de Oficina Gasta + Lâminas de Estilete Oxidadas";"Lâmina de Serra Enferrujada, Luva de Oficina Gasta";"Lâminas de Estilete Oxidadas"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"Adagas";"2";"COMMON";"Distrito da Ferrugem";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Lâminas de Estilete Oxidadas + Gancho de Cinto Gasto";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâminas de Estilete Oxidadas + Gancho de Cinto Gasto + Lâmina de Serra Enferrujada";"Lâminas de Estilete Oxidadas, Gancho de Cinto Gasto";"Lâmina de Serra Enferrujada"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"Espada";"3";"UNCOMMON";"Hospital Santa Ruína";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Bisturi Cirúrgico Alongado + Faixa de Torniquete";"2";"usa 2 material(is) de gathering; alvo: 3";"Bisturi Cirúrgico Alongado + Faixa de Torniquete + Faixa Hospitalar";"Bisturi Cirúrgico Alongado, Faixa de Torniquete";"Faixa Hospitalar"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"Adagas";"3";"UNCOMMON";"Hospital Santa Ruína";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Pontas de Tesoura Cirúrgica + Tira de Pulseira Hospitalar";"2";"usa 2 material(is) de gathering; alvo: 3";"Pontas de Tesoura Cirúrgica + Tira de Pulseira Hospitalar + Bandeja Cirúrgica Serrilhada";"Pontas de Tesoura Cirúrgica, Tira de Pulseira Hospitalar";"Bandeja Cirúrgica Serrilhada"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"Espada";"4";"UNCOMMON";"Terminal dos Esquecidos";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Placa de Sinalização Cortante + Correia de Mochila de Viagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa de Sinalização Cortante + Correia de Mochila de Viagem + Placa de Embarque Afiada";"Placa de Sinalização Cortante, Correia de Mochila de Viagem";"Placa de Embarque Afiada"
"Adagas de Canivete de Embarque";"Assassino";"MAIN_HAND";"Adagas";"4";"UNCOMMON";"Terminal dos Esquecidos";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Canivetes de Bagagem + Passador de Cinto de Assento";"2";"usa 2 material(is) de gathering; alvo: 3";"Canivetes de Bagagem + Passador de Cinto de Assento + Placa de Embarque Afiada";"Canivetes de Bagagem, Passador de Cinto de Assento";"Placa de Embarque Afiada"
"Espada de Lâmina Selada";"Assassino";"MAIN_HAND";"Espada";"5";"RARE";"Zona de Quarentena 9";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina de Quarentena Selada + Cinta de Colete Antimordida";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina de Quarentena Selada + Cinta de Colete Antimordida + Placa de Porta Selada";"Lâmina de Quarentena Selada, Cinta de Colete Antimordida";"Placa de Porta Selada"
"Adagas de Contenção Verde";"Assassino";"MAIN_HAND";"Adagas";"5";"RARE";"Zona de Quarentena 9";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Estiletes de Contenção Verde + Presilha de Equipamento Selado";"2";"usa 2 material(is) de gathering; alvo: 3";"Estiletes de Contenção Verde + Presilha de Equipamento Selado + Ampola Selante Verde";"Estiletes de Contenção Verde, Presilha de Equipamento Selado";"Ampola Selante Verde"
"Espada de Corte Cinzento";"Assassino";"MAIN_HAND";"Espada";"6";"RARE";"Refinaria do Pó Cinzento";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina de Corte Industrial + Luva de Borracha Queimada";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina de Corte Industrial + Luva de Borracha Queimada + Condensador de Choque Cinzento";"Lâmina de Corte Industrial, Luva de Borracha Queimada";"Condensador de Choque Cinzento"
"Adagas de Caldeira Fumegante";"Assassino";"MAIN_HAND";"Adagas";"6";"RARE";"Refinaria do Pó Cinzento";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Lascas de Caldeira Afiadas + Correia Antióleo";"2";"usa 2 material(is) de gathering; alvo: 3";"Lascas de Caldeira Afiadas + Correia Antióleo + Lâmina de Corte Industrial";"Lascas de Caldeira Afiadas, Correia Antióleo";"Lâmina de Corte Industrial"
"Espada de Viatura Partida";"Assassino";"MAIN_HAND";"Espada";"7";"EPIC";"Avenida dos Caídos";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina de Porta de Viatura + Coldre Tático Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina de Porta de Viatura + Coldre Tático Rasgado + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Lâmina de Porta de Viatura, Coldre Tático Rasgado";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Adagas Antimotim Roxas";"Assassino";"MAIN_HAND";"Adagas";"7";"EPIC";"Avenida dos Caídos";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Cacos de Escudo Antimotim + Braçadeira Tática Rompida";"2";"usa 2 material(is) de gathering; alvo: 3";"Cacos de Escudo Antimotim + Braçadeira Tática Rompida + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Cacos de Escudo Antimotim, Braçadeira Tática Rompida";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Espada Helix Serrilhada";"Assassino";"MAIN_HAND";"Espada";"8";"EPIC";"Complexo Helix";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina Helix Serrilhada + Trama de Polímero Helix (Patrulha T8 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Helix Serrilhada + Trama de Polímero Helix (Patrulha T8 Main Hand) + Trama de Polímero Helix (Coleta T8 Main Hand)";"Lâmina Helix Serrilhada, Trama de Polímero Helix (Patrulha T8 Main Hand)";"Trama de Polímero Helix (Coleta T8 Main Hand)"
"Adagas de Monofio Experimental";"Assassino";"MAIN_HAND";"Adagas";"8";"EPIC";"Complexo Helix";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Filamentos Cortantes Helix + Pulseira de Infiltração Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Filamentos Cortantes Helix + Pulseira de Infiltração Helix + Lâmina Helix Serrilhada";"Filamentos Cortantes Helix, Pulseira de Infiltração Helix";"Lâmina Helix Serrilhada"
"Espada de Fragmento Carmesim";"Assassino";"MAIN_HAND";"Espada";"9";"LEGENDARY";"Necrópole Industrial";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Fragmento Carmesim Cortante + Malha de Fibra Sombria";"2";"usa 2 material(is) de gathering; alvo: 3";"Fragmento Carmesim Cortante + Malha de Fibra Sombria + Núcleo de Vedação Carmesim";"Fragmento Carmesim Cortante, Malha de Fibra Sombria";"Núcleo de Vedação Carmesim"
"Adagas Titânicas Necróticas";"Assassino";"MAIN_HAND";"Adagas";"9";"LEGENDARY";"Necrópole Industrial";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Pontas Titânicas Necróticas + Correia de Fibra Tática";"2";"usa 2 material(is) de gathering; alvo: 3";"Pontas Titânicas Necróticas + Correia de Fibra Tática + Malha de Fibra Tática";"Pontas Titânicas Necróticas, Correia de Fibra Tática";"Malha de Fibra Tática"
"Espada do Marco Zero";"Assassino";"MAIN_HAND";"Espada";"10";"LEGENDARY";"Marco Zero";"faca, lamina, cabo, fita, empunhadura, metal, cordao, pano";"Lâmina Rubra do Marco + Trança de Fibra Escarlate (Patrulha T10 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Rubra do Marco + Trança de Fibra Escarlate (Patrulha T10 Main Hand) + Lâmina Rubra de Microcorte";"Lâmina Rubra do Marco, Trança de Fibra Escarlate (Patrulha T10 Main Hand)";"Lâmina Rubra de Microcorte"
"Adagas da Ruína Silenciosa";"Assassino";"MAIN_HAND";"Adagas";"10";"LEGENDARY";"Marco Zero";"faca, facas, cordao, pano, lamina, empunhadura, lona, filtro";"Par de Lâminas do Colapso + Manta de Fibra Saturada (Patrulha T10 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Par de Lâminas do Colapso + Manta de Fibra Saturada (Patrulha T10 Main Hand) + Lâmina Rubra de Microcorte";"Par de Lâminas do Colapso, Manta de Fibra Saturada (Patrulha T10 Main Hand)";"Lâmina Rubra de Microcorte"
"Bombas de Lata Fumacenta";"Assassino";"OFF_HAND";"Bombas";"1";"COMMON";"Subúrbio Silencioso";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cápsula de Lata Amassada + Circuito de Lanterna Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula de Lata Amassada + Circuito de Lanterna Quebrado + Ampola Vazia Suja";"Cápsula de Lata Amassada, Circuito de Lanterna Quebrado";"Ampola Vazia Suja"
"Bombas de Ferrugem Seca";"Assassino";"OFF_HAND";"Bombas";"2";"COMMON";"Distrito da Ferrugem";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cápsula de Oficina Oxidada + Gatilho de Alarme Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula de Oficina Oxidada + Gatilho de Alarme Oxidado + Ampola Selante Oxidada";"Cápsula de Oficina Oxidada, Gatilho de Alarme Oxidado";"Ampola Selante Oxidada"
"Bombas de Névoa Clínica";"Assassino";"OFF_HAND";"Bombas";"3";"UNCOMMON";"Hospital Santa Ruína";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Frasco de Anestésico Vazio + Nebulizador Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Frasco de Anestésico Vazio + Nebulizador Quebrado + Estojo de Ampolas Rasgado";"Frasco de Anestésico Vazio, Nebulizador Quebrado";"Estojo de Ampolas Rasgado"
"Bombas de Sinalização Queimada";"Assassino";"OFF_HAND";"Bombas";"4";"UNCOMMON";"Terminal dos Esquecidos";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cartucho de Sinalização + Temporizador de Painel";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho de Sinalização + Temporizador de Painel + Porta-cartuchos de Bagagem";"Cartucho de Sinalização, Temporizador de Painel";"Porta-cartuchos de Bagagem"
"Bombas de Quarentena Verde";"Assassino";"OFF_HAND";"Bombas";"5";"RARE";"Zona de Quarentena 9";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cápsula de Contenção + Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula de Contenção + Sensor de Gás Verde (Tecnovarredura T5 Off Hand) + Selante Bioquímico Verde";"Cápsula de Contenção, Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"Selante Bioquímico Verde"
"Bombas de Fuligem Química";"Assassino";"OFF_HAND";"Bombas";"6";"RARE";"Refinaria do Pó Cinzento";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cartucho de Refinaria + Válvula Temporizadora";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho de Refinaria + Válvula Temporizadora + Cápsula Química Ressecada";"Cartucho de Refinaria, Válvula Temporizadora";"Cápsula Química Ressecada"
"Bombas de Sombra Mutagênica";"Assassino";"OFF_HAND";"Bombas";"7";"EPIC";"Avenida dos Caídos";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Granadas de Fumaça Roxa + Emissor de Ruído Instável";"2";"usa 2 material(is) de gathering; alvo: 3";"Granadas de Fumaça Roxa + Emissor de Ruído Instável + Cartucho Cerâmico Roxo";"Granadas de Fumaça Roxa, Emissor de Ruído Instável";"Cartucho Cerâmico Roxo"
"Bombas Helix de Dispersão";"Assassino";"OFF_HAND";"Bombas";"8";"EPIC";"Complexo Helix";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cápsula Helix Pressurizada + Difusor Molecular Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula Helix Pressurizada + Difusor Molecular Helix + Cápsula de Contenção Helix (Contenção T8 Off Hand)";"Cápsula Helix Pressurizada, Difusor Molecular Helix";"Cápsula de Contenção Helix (Contenção T8 Off Hand)"
"Bombas Necróticas Carmesim";"Assassino";"OFF_HAND";"Bombas";"9";"LEGENDARY";"Necrópole Industrial";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Núcleo Explosivo Carmesim + Detonador Necrótico";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Explosivo Carmesim + Detonador Necrótico + Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"Núcleo Explosivo Carmesim, Detonador Necrótico";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)"
"Bombas do Eclipse Rubro";"Assassino";"OFF_HAND";"Bombas";"10";"LEGENDARY";"Marco Zero";"capsula, lata, frasco, pavio, quimico, po, faca, cordao";"Cápsula do Marco Zero + Núcleo de Dispersão Rubro";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula do Marco Zero + Núcleo de Dispersão Rubro + Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"Cápsula do Marco Zero, Núcleo de Dispersão Rubro";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)"
"Capuz de Moletom Rasgado";"Assassino";"HEAD";"Capuz";"1";"COMMON";"Subúrbio Silencioso";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Lente de Lanterna Pequena + Cordão de Capuz Gasto";"2";"usa 2 material(is) de gathering; alvo: 3";"Lente de Lanterna Pequena + Cordão de Capuz Gasto + Filtro Pálido Sujo";"Lente de Lanterna Pequena, Cordão de Capuz Gasto";"Filtro Pálido Sujo"
"Capuz de Oficina Sombreado";"Assassino";"HEAD";"Capuz";"2";"COMMON";"Distrito da Ferrugem";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"LED de Máquina Quebrado + Tecido de Uniforme Oleoso";"2";"usa 2 material(is) de gathering; alvo: 3";"LED de Máquina Quebrado + Tecido de Uniforme Oleoso + Casco de Solda Enferrujado";"LED de Máquina Quebrado, Tecido de Uniforme Oleoso";"Casco de Solda Enferrujado"
"Capuz de Triagem Escura";"Assassino";"HEAD";"Capuz";"3";"UNCOMMON";"Hospital Santa Ruína";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Sensor de Batimento Quebrado + Tira de Máscara Clínica";"2";"usa 2 material(is) de gathering; alvo: 3";"Sensor de Batimento Quebrado + Tira de Máscara Clínica + Vedação de Máscara Clínica";"Sensor de Batimento Quebrado, Tira de Máscara Clínica";"Vedação de Máscara Clínica"
"Capuz de Embarque Oculto";"Assassino";"HEAD";"Capuz";"4";"UNCOMMON";"Terminal dos Esquecidos";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Chip de Catraca + Capuz de Passageiro Desfiado";"2";"usa 2 material(is) de gathering; alvo: 3";"Chip de Catraca + Capuz de Passageiro Desfiado + Filtro de Cabine Queimado";"Chip de Catraca, Capuz de Passageiro Desfiado";"Filtro de Cabine Queimado"
"Capuz de Quarentena Verde";"Assassino";"HEAD";"Capuz";"5";"RARE";"Zona de Quarentena 9";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Visor de Quarentena + Véu Sanitário Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Visor de Quarentena + Véu Sanitário Rasgado + Casco de Contenção Pesada";"Visor de Quarentena, Véu Sanitário Rasgado";"Casco de Contenção Pesada"
"Capuz de Fuligem Cinzenta";"Assassino";"HEAD";"Capuz";"6";"RARE";"Refinaria do Pó Cinzento";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Sensor de Vapores + Capuz Antióleo Queimado";"2";"usa 2 material(is) de gathering; alvo: 3";"Sensor de Vapores + Capuz Antióleo Queimado + Filtro de Vapor Ressecado";"Sensor de Vapores, Capuz Antióleo Queimado";"Filtro de Vapor Ressecado"
"Capuz de Sombra Mutagênica";"Assassino";"HEAD";"Capuz";"7";"EPIC";"Avenida dos Caídos";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Microvisor Balístico + Tecido de Balaclava Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Microvisor Balístico + Tecido de Balaclava Rasgado + Casco de Capacete de Motim";"Microvisor Balístico, Tecido de Balaclava Rasgado";"Casco de Capacete de Motim"
"Capuz Helix Camuflado";"Assassino";"HEAD";"Capuz";"8";"EPIC";"Complexo Helix";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Módulo de Camuflagem Helix + Manta de Polímero Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Módulo de Camuflagem Helix + Manta de Polímero Helix + Cápsula Biofiltrante Helix";"Módulo de Camuflagem Helix, Manta de Polímero Helix";"Cápsula Biofiltrante Helix"
"Capuz Necrótico Carmesim";"Assassino";"HEAD";"Capuz";"9";"LEGENDARY";"Necrópole Industrial";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Interface Ocular Carmesim (Tecnovarredura T9 Elmo) + Trama de Fibra Sombria";"2";"usa 2 material(is) de gathering; alvo: 3";"Interface Ocular Carmesim (Tecnovarredura T9 Elmo) + Trama de Fibra Sombria + Visor Carmesim Selado";"Interface Ocular Carmesim (Tecnovarredura T9 Elmo), Trama de Fibra Sombria";"Visor Carmesim Selado"
"Capuz do Marco Zero";"Assassino";"HEAD";"Capuz";"10";"LEGENDARY";"Marco Zero";"capuz, tecido, filtro, lona, mascara, retalho, capacete, casco";"Núcleo de Sombra Rubro + Fibra Escarlate de Ocultação";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Sombra Rubro + Fibra Escarlate de Ocultação + Visor Rubro de Bioleitura";"Núcleo de Sombra Rubro, Fibra Escarlate de Ocultação";"Visor Rubro de Bioleitura"
"Traje de Rua Rasgado";"Assassino";"ARMOR";"Traje";"1";"COMMON";"Subúrbio Silencioso";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Bolsa de Munição Rasgada + Placa de Walkie Quebrada";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolsa de Munição Rasgada + Placa de Walkie Quebrada + Placa de Portão Leve";"Bolsa de Munição Rasgada, Placa de Walkie Quebrada";"Placa de Portão Leve"
"Traje de Oficina Silencioso";"Assassino";"ARMOR";"Traje";"2";"COMMON";"Distrito da Ferrugem";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Bainha de Uniforme Escura + Rádio de Oficina Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Bainha de Uniforme Escura + Rádio de Oficina Quebrado + Colete de Operário Gasto";"Bainha de Uniforme Escura, Rádio de Oficina Quebrado";"Colete de Operário Gasto"
