"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"materialPrincipal";"origemPrincipal";"qtdPrincipal";"materialSecundario";"origemSecundaria";"qtdSecundario";"materialTerciario";"origemTerciaria";"qtdTerciario";"biomaterial";"qtdBiomaterial";"residuo";"qtdResiduo";"motivo"
"Machado de Lâmina Experimental";"Lutador";"MAIN_HAND";"Machado";"8";"EPIC";"Complexo Helix";"Módulo Cerâmico Helix (Contenção T8 Main Hand)";"CONTENCAO";"83";"Revestimento Sintético Reforçado";"COLETA";"41";"Microserra Helix (Tecnovarredura T8 Main Hand)";"TECNOVARREDURA";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Coluna Titânica";"Lutador";"MAIN_HAND";"Maça";"9";"LEGENDARY";"Necrópole Industrial";"Núcleo de Vedação Carmesim";"CONTENCAO";"90";"Trama de Fibra Reforçada";"COLETA";"45";"Malha de Fibra Sombria";"PATRULHA";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Fragmento Titânico";"Lutador";"MAIN_HAND";"Machado";"9";"LEGENDARY";"Necrópole Industrial";"Câmara Necrótica Selada";"CONTENCAO";"90";"Malha de Fibra Tática";"COLETA";"45";"Placa Titânica Cortante";"DESMANCHE";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Machado, MAIN_HAND e Lutador."
"Maça do Marco Zero";"Lutador";"MAIN_HAND";"Maça";"10";"LEGENDARY";"Marco Zero";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"CONTENCAO";"90";"Manta de Fibra Saturada (Coleta T10 Main Hand)";"COLETA";"45";"Manta de Fibra Saturada (Patrulha T10 Main Hand)";"PATRULHA";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Maça, MAIN_HAND e Lutador."
"Machado da Ruína Carmesim";"Lutador";"MAIN_HAND";"Machado";"10";"LEGENDARY";"Marco Zero";"Selo Final de Contenção";"CONTENCAO";"90";"Trança de Fibra Escarlate (Coleta T10 Main Hand)";"COLETA";"45";"Lâmina Rubra do Marco";"ARSENAL";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Machado, MAIN_HAND e Lutador."
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"Escudo";"1";"COMMON";"Subúrbio Silencioso";"Tampa Metálica Amassada";"DESMANCHE";"60";"Placa de Porta Leve";"DESMANCHE";"30";"Pano Filtrante Sujo";"CONTENCAO";"30";"Biomaterial Reativo Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"Escudo";"2";"COMMON";"Distrito da Ferrugem";"Bolsa de Ferramentas Médicas Gasta";"COLETA";"60";"Rebite Selante Oxidado";"CONTENCAO";"30";"Porta-munição Oleoso";"PATRULHA";"30";"Biomaterial Reativo Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"Escudo";"3";"UNCOMMON";"Hospital Santa Ruína";"Acolchoado de Maca (Coleta T3 Pernas)";"COLETA";"68";"Tela de Isolamento Clínico";"CONTENCAO";"34";"Frasco de Anestésico Vazio";"ARSENAL";"33";"Biomaterial Reativo Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"Escudo";"4";"UNCOMMON";"Terminal dos Esquecidos";"Cartucho Sanitário de Cabine";"CONTENCAO";"68";"Manta Antifiação";"CONTENCAO";"34";"Porta-cartuchos de Bagagem";"PATRULHA";"33";"Biomaterial Reativo Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"Escudo";"5";"RARE";"Zona de Quarentena 9";"Selante Bioquímico Verde";"CONTENCAO";"75";"Placa de Resina Verde";"CONTENCAO";"38";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"TECNOVARREDURA";"37";"Biomaterial Reativo Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Tampa de Caldeira";"Lutador";"OFF_HAND";"Escudo";"6";"RARE";"Refinaria do Pó Cinzento";"Cápsula Química Ressecada";"CONTENCAO";"75";"Junta de Vapor Cinzenta";"CONTENCAO";"38";"Cartucho de Refinaria";"ARSENAL";"37";"Biomaterial Reativo Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Placa Antimotim";"Lutador";"OFF_HAND";"Escudo";"7";"EPIC";"Avenida dos Caídos";"Cartucho Cerâmico Roxo";"CONTENCAO";"83";"Painel Cerâmico Roxo";"CONTENCAO";"41";"Granadas de Fumaça Roxa";"ARSENAL";"41";"Biomaterial Reativo Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo de Painel Helix";"Lutador";"OFF_HAND";"Escudo";"8";"EPIC";"Complexo Helix";"Ampola Cerâmica Helix";"CONTENCAO";"83";"Cápsula de Contenção Helix (Contenção T8 Off Hand)";"CONTENCAO";"41";"Cápsula Helix Pressurizada";"ARSENAL";"41";"Biomaterial Reativo Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo Titânico da Necrópole";"Lutador";"OFF_HAND";"Escudo";"9";"LEGENDARY";"Necrópole Industrial";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"CONTENCAO";"90";"Núcleo de Bloqueio Carmesim";"CONTENCAO";"45";"Núcleo Explosivo Carmesim";"ARSENAL";"45";"Biomaterial Reativo Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Escudo, OFF_HAND e Lutador."
"Escudo do Marco Zero";"Lutador";"OFF_HAND";"Escudo";"10";"LEGENDARY";"Marco Zero";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"CONTENCAO";"90";"Núcleo Rubro de Bloqueio";"CONTENCAO";"45";"Placa Titânica do Marco Zero";"DESMANCHE";"45";"Biomaterial Reativo Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Escudo, OFF_HAND e Lutador."
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"Espada";"1";"COMMON";"Subúrbio Silencioso";"Faca Serrada de Cozinha";"ARSENAL";"60";"Lâmina de Ferramenta Velha";"DESMANCHE";"30";"Fita de Mochila Rasgada";"PATRULHA";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"Adagas";"1";"COMMON";"Subúrbio Silencioso";"Par de Facas Trincadas";"ARSENAL";"60";"Cordão de Tênis Gasto";"PATRULHA";"30";"Pano de Empunhadura";"COLETA";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"Espada";"2";"COMMON";"Distrito da Ferrugem";"Lâmina de Serra Enferrujada";"ARSENAL";"60";"Luva de Oficina Gasta";"PATRULHA";"30";"Lâminas de Estilete Oxidadas";"ARSENAL";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"Adagas";"2";"COMMON";"Distrito da Ferrugem";"Lâminas de Estilete Oxidadas";"ARSENAL";"60";"Gancho de Cinto Gasto";"PATRULHA";"30";"Lâmina de Serra Enferrujada";"ARSENAL";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"Espada";"3";"UNCOMMON";"Hospital Santa Ruína";"Bisturi Cirúrgico Alongado";"ARSENAL";"68";"Faixa de Torniquete";"PATRULHA";"34";"Faixa Hospitalar";"COLETA";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"Adagas";"3";"UNCOMMON";"Hospital Santa Ruína";"Pontas de Tesoura Cirúrgica";"ARSENAL";"68";"Tira de Pulseira Hospitalar";"PATRULHA";"34";"Bandeja Cirúrgica Serrilhada";"DESMANCHE";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"Espada";"4";"UNCOMMON";"Terminal dos Esquecidos";"Placa de Sinalização Cortante";"ARSENAL";"68";"Correia de Mochila de Viagem";"PATRULHA";"34";"Placa de Embarque Afiada";"DESMANCHE";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Canivete de Embarque";"Assassino";"MAIN_HAND";"Adagas";"4";"UNCOMMON";"Terminal dos Esquecidos";"Canivetes de Bagagem";"ARSENAL";"68";"Passador de Cinto de Assento";"PATRULHA";"34";"Placa de Embarque Afiada";"DESMANCHE";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Lâmina Selada";"Assassino";"MAIN_HAND";"Espada";"5";"RARE";"Zona de Quarentena 9";"Lâmina de Quarentena Selada";"ARSENAL";"75";"Cinta de Colete Antimordida";"PATRULHA";"38";"Placa de Porta Selada";"DESMANCHE";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Contenção Verde";"Assassino";"MAIN_HAND";"Adagas";"5";"RARE";"Zona de Quarentena 9";"Estiletes de Contenção Verde";"ARSENAL";"75";"Presilha de Equipamento Selado";"PATRULHA";"38";"Ampola Selante Verde";"CONTENCAO";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Corte Cinzento";"Assassino";"MAIN_HAND";"Espada";"6";"RARE";"Refinaria do Pó Cinzento";"Lâmina de Corte Industrial";"ARSENAL";"75";"Luva de Borracha Queimada";"PATRULHA";"38";"Condensador de Choque Cinzento";"TECNOVARREDURA";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Caldeira Fumegante";"Assassino";"MAIN_HAND";"Adagas";"6";"RARE";"Refinaria do Pó Cinzento";"Lascas de Caldeira Afiadas";"ARSENAL";"75";"Correia Antióleo";"PATRULHA";"38";"Lâmina de Corte Industrial";"ARSENAL";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Viatura Partida";"Assassino";"MAIN_HAND";"Espada";"7";"EPIC";"Avenida dos Caídos";"Lâmina de Porta de Viatura";"ARSENAL";"83";"Coldre Tático Rasgado";"PATRULHA";"41";"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"DESMANCHE";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas Antimotim Roxas";"Assassino";"MAIN_HAND";"Adagas";"7";"EPIC";"Avenida dos Caídos";"Cacos de Escudo Antimotim";"ARSENAL";"83";"Braçadeira Tática Rompida";"PATRULHA";"41";"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"DESMANCHE";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada Helix Serrilhada";"Assassino";"MAIN_HAND";"Espada";"8";"EPIC";"Complexo Helix";"Lâmina Helix Serrilhada";"ARSENAL";"83";"Trama de Polímero Helix (Patrulha T8 Main Hand)";"PATRULHA";"41";"Trama de Polímero Helix (Coleta T8 Main Hand)";"COLETA";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas de Monofio Experimental";"Assassino";"MAIN_HAND";"Adagas";"8";"EPIC";"Complexo Helix";"Filamentos Cortantes Helix";"ARSENAL";"83";"Pulseira de Infiltração Helix";"PATRULHA";"41";"Lâmina Helix Serrilhada";"ARSENAL";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada de Fragmento Carmesim";"Assassino";"MAIN_HAND";"Espada";"9";"LEGENDARY";"Necrópole Industrial";"Fragmento Carmesim Cortante";"ARSENAL";"90";"Malha de Fibra Sombria";"PATRULHA";"45";"Núcleo de Vedação Carmesim";"CONTENCAO";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas Titânicas Necróticas";"Assassino";"MAIN_HAND";"Adagas";"9";"LEGENDARY";"Necrópole Industrial";"Pontas Titânicas Necróticas";"ARSENAL";"90";"Correia de Fibra Tática";"PATRULHA";"45";"Malha de Fibra Tática";"COLETA";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Adagas, MAIN_HAND e Assassino."
"Espada do Marco Zero";"Assassino";"MAIN_HAND";"Espada";"10";"LEGENDARY";"Marco Zero";"Lâmina Rubra do Marco";"ARSENAL";"90";"Trança de Fibra Escarlate (Patrulha T10 Main Hand)";"PATRULHA";"45";"Lâmina Rubra de Microcorte";"TECNOVARREDURA";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Espada, MAIN_HAND e Assassino."
"Adagas da Ruína Silenciosa";"Assassino";"MAIN_HAND";"Adagas";"10";"LEGENDARY";"Marco Zero";"Par de Lâminas do Colapso";"ARSENAL";"90";"Manta de Fibra Saturada (Patrulha T10 Main Hand)";"PATRULHA";"45";"Lâmina Rubra de Microcorte";"TECNOVARREDURA";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Adagas, MAIN_HAND e Assassino."
"Bombas de Lata Fumacenta";"Assassino";"OFF_HAND";"Bombas";"1";"COMMON";"Subúrbio Silencioso";"Cápsula de Lata Amassada";"ARSENAL";"60";"Circuito de Lanterna Quebrado";"TECNOVARREDURA";"30";"Ampola Vazia Suja";"CONTENCAO";"30";"Biomaterial Reativo Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Ferrugem Seca";"Assassino";"OFF_HAND";"Bombas";"2";"COMMON";"Distrito da Ferrugem";"Cápsula de Oficina Oxidada";"ARSENAL";"60";"Gatilho de Alarme Oxidado";"TECNOVARREDURA";"30";"Ampola Selante Oxidada";"CONTENCAO";"30";"Biomaterial Reativo Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Névoa Clínica";"Assassino";"OFF_HAND";"Bombas";"3";"UNCOMMON";"Hospital Santa Ruína";"Frasco de Anestésico Vazio";"ARSENAL";"68";"Nebulizador Quebrado";"TECNOVARREDURA";"34";"Estojo de Ampolas Rasgado";"PATRULHA";"33";"Biomaterial Reativo Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Sinalização Queimada";"Assassino";"OFF_HAND";"Bombas";"4";"UNCOMMON";"Terminal dos Esquecidos";"Cartucho de Sinalização";"ARSENAL";"68";"Temporizador de Painel";"TECNOVARREDURA";"34";"Porta-cartuchos de Bagagem";"PATRULHA";"33";"Biomaterial Reativo Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Quarentena Verde";"Assassino";"OFF_HAND";"Bombas";"5";"RARE";"Zona de Quarentena 9";"Cápsula de Contenção";"ARSENAL";"75";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"TECNOVARREDURA";"38";"Selante Bioquímico Verde";"CONTENCAO";"37";"Biomaterial Reativo Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Fuligem Química";"Assassino";"OFF_HAND";"Bombas";"6";"RARE";"Refinaria do Pó Cinzento";"Cartucho de Refinaria";"ARSENAL";"75";"Válvula Temporizadora";"TECNOVARREDURA";"38";"Cápsula Química Ressecada";"CONTENCAO";"37";"Biomaterial Reativo Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas de Sombra Mutagênica";"Assassino";"OFF_HAND";"Bombas";"7";"EPIC";"Avenida dos Caídos";"Granadas de Fumaça Roxa";"ARSENAL";"83";"Emissor de Ruído Instável";"TECNOVARREDURA";"41";"Cartucho Cerâmico Roxo";"CONTENCAO";"41";"Biomaterial Reativo Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas Helix de Dispersão";"Assassino";"OFF_HAND";"Bombas";"8";"EPIC";"Complexo Helix";"Cápsula Helix Pressurizada";"ARSENAL";"83";"Difusor Molecular Helix";"TECNOVARREDURA";"41";"Cápsula de Contenção Helix (Contenção T8 Off Hand)";"CONTENCAO";"41";"Biomaterial Reativo Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas Necróticas Carmesim";"Assassino";"OFF_HAND";"Bombas";"9";"LEGENDARY";"Necrópole Industrial";"Núcleo Explosivo Carmesim";"ARSENAL";"90";"Detonador Necrótico";"TECNOVARREDURA";"45";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"CONTENCAO";"45";"Biomaterial Reativo Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Bombas, OFF_HAND e Assassino."
"Bombas do Eclipse Rubro";"Assassino";"OFF_HAND";"Bombas";"10";"LEGENDARY";"Marco Zero";"Cápsula do Marco Zero";"ARSENAL";"90";"Núcleo de Dispersão Rubro";"TECNOVARREDURA";"45";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"CONTENCAO";"45";"Biomaterial Reativo Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Bombas, OFF_HAND e Assassino."
"Capuz de Moletom Rasgado";"Assassino";"HEAD";"Capuz";"1";"COMMON";"Subúrbio Silencioso";"Lente de Lanterna Pequena";"TECNOVARREDURA";"60";"Cordão de Capuz Gasto";"PATRULHA";"30";"Filtro Pálido Sujo";"CONTENCAO";"30";"Biomaterial Craniano Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Capuz, HEAD e Assassino."
"Capuz de Oficina Sombreado";"Assassino";"HEAD";"Capuz";"2";"COMMON";"Distrito da Ferrugem";"LED de Máquina Quebrado";"TECNOVARREDURA";"60";"Tecido de Uniforme Oleoso";"PATRULHA";"30";"Casco de Solda Enferrujado";"DESMANCHE";"30";"Biomaterial Craniano Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Capuz, HEAD e Assassino."
"Capuz de Triagem Escura";"Assassino";"HEAD";"Capuz";"3";"UNCOMMON";"Hospital Santa Ruína";"Sensor de Batimento Quebrado";"TECNOVARREDURA";"68";"Tira de Máscara Clínica";"PATRULHA";"34";"Vedação de Máscara Clínica";"CONTENCAO";"33";"Biomaterial Craniano Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Capuz, HEAD e Assassino."
"Capuz de Embarque Oculto";"Assassino";"HEAD";"Capuz";"4";"UNCOMMON";"Terminal dos Esquecidos";"Chip de Catraca";"TECNOVARREDURA";"68";"Capuz de Passageiro Desfiado";"PATRULHA";"34";"Filtro de Cabine Queimado";"CONTENCAO";"33";"Biomaterial Craniano Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Capuz, HEAD e Assassino."
"Capuz de Quarentena Verde";"Assassino";"HEAD";"Capuz";"5";"RARE";"Zona de Quarentena 9";"Visor de Quarentena";"TECNOVARREDURA";"75";"Véu Sanitário Rasgado";"PATRULHA";"38";"Casco de Contenção Pesada";"DESMANCHE";"37";"Biomaterial Craniano Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Capuz, HEAD e Assassino."
"Capuz de Fuligem Cinzenta";"Assassino";"HEAD";"Capuz";"6";"RARE";"Refinaria do Pó Cinzento";"Sensor de Vapores";"TECNOVARREDURA";"75";"Capuz Antióleo Queimado";"PATRULHA";"38";"Filtro de Vapor Ressecado";"CONTENCAO";"37";"Biomaterial Craniano Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Capuz, HEAD e Assassino."
"Capuz de Sombra Mutagênica";"Assassino";"HEAD";"Capuz";"7";"EPIC";"Avenida dos Caídos";"Microvisor Balístico";"TECNOVARREDURA";"83";"Tecido de Balaclava Rasgado";"PATRULHA";"41";"Casco de Capacete de Motim";"DESMANCHE";"41";"Biomaterial Craniano Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Capuz, HEAD e Assassino."
"Capuz Helix Camuflado";"Assassino";"HEAD";"Capuz";"8";"EPIC";"Complexo Helix";"Módulo de Camuflagem Helix";"TECNOVARREDURA";"83";"Manta de Polímero Helix";"PATRULHA";"41";"Cápsula Biofiltrante Helix";"CONTENCAO";"41";"Biomaterial Craniano Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Capuz, HEAD e Assassino."
"Capuz Necrótico Carmesim";"Assassino";"HEAD";"Capuz";"9";"LEGENDARY";"Necrópole Industrial";"Interface Ocular Carmesim (Tecnovarredura T9 Elmo)";"TECNOVARREDURA";"90";"Trama de Fibra Sombria";"PATRULHA";"45";"Visor Carmesim Selado";"CONTENCAO";"45";"Biomaterial Craniano Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Capuz, HEAD e Assassino."
"Capuz do Marco Zero";"Assassino";"HEAD";"Capuz";"10";"LEGENDARY";"Marco Zero";"Núcleo de Sombra Rubro";"TECNOVARREDURA";"90";"Fibra Escarlate de Ocultação";"PATRULHA";"45";"Visor Rubro de Bioleitura";"TECNOVARREDURA";"45";"Biomaterial Craniano Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Capuz, HEAD e Assassino."
